Categoria,Elemento a Validar,Criterio de Aceptacion,Estado (Pass/Fail),Comentarios
GUI & Diseño,Fidelidad tipográfica,Títulos en Outfit y textos en Inter con pesos correctos.,,
GUI & Diseño,Paleta de Colores,Uso adecuado del Brand Salmon #FF5757 y fondos oscuros.,,
GUI & Diseño,Alineación y Espaciado,Contenedores max-w-6xl y jerarquía de padding/margin correcto.,,
GUI & Diseño,Micro-interacciones,Hover states atractivos (transiciones sombra desenfoque etc).,,
GUI & Diseño,Multimedia,Fondo2.png y avatares redondeados cargan nativamente sin pixelar.,,
UX & Navegación,Comportamiento Hero,El botón Portafolio hace ancla suave y Descargar CV fuerza descarga nativa.,,
UX & Navegación,Marquesina Clientes,Flujo continuo sin saltos visuales en el carrusel de logos.,,
UX & Navegación,Botones Externos,Enlaces sociales usan target='_blank' rel='noopener noreferrer'.,,
UX & Navegación,Estados de Error,Página 404 personalizada se renderiza correctamente.,,
Accesibilidad (A11y),Etiquetado Semántico,Existencia de h1 y tags semánticos de HTML5.,,
Accesibilidad (A11y),Atributo Idioma,Etiqueta html con lang='es' o 'en' correcto.,,
Accesibilidad (A11y),Soporte Lectores,Uso de aria-label en vectores puramente visuales.,,
Accesibilidad (A11y),Contraste Color,Textos legibles (>4.5:1) exceptuando rojo corporativo validado.,,
Accesibilidad (A11y),Accesibilidad Teclado,Todo el sitio es navegable usando solo la tecla Tab.,,
Performance & SEO,Lighthouse Metrics,Desktop SSG sostiene +90/100 en Performance.,,
Performance & SEO,Core Web Vitals,LCP < 2.5s y nulo Cumulative Layout Shift (CLS).,,
Performance & SEO,SEO Estático,Sitemap auto-generado y title/meta tags configurados.,,
Operativas & CI/CD,Playwright E2E,Smoke tests superados antes del deploy.,,
Operativas & CI/CD,Quality Gate,La rama staging bloquea builds no validadas.,,
Operativas & CI/CD,Security Headers,CSP HSTS y X-Frame-Options inyectados en Netlify.,,
