Categoria,Elemento a Validar,Criterio de Aceptacion,Estado (Pass/Fail),Comentarios
Responsive & Grid,Layout Fluid,Componentes multicola colapsan a una sola columna bajo 768px.,,
Responsive & Grid,Sin Overflow Horizontal,Ningún div o título empuja el ancho fuera del viewport (sin scroll-x).,,
Responsive & Grid,Marquesina Móvil,Logotipos readaptados y animaciones suaves para GPU móvil.,,
Touch & Interfaz,Hitboxes (Zonas Táctiles),Enlaces y botones con un tapeo mínimo recomendado de 44x44px.,,
Touch & Interfaz,Espaciado de Contacto,Botones del Hero separados para evitar toques accidentales.,,
Touch & Interfaz,Hamburguesa / Menú,Navegación apilada correcta en resoluciones pequeñas.,,
Touch & Interfaz,Tipografía Responsiva,Escalado de h1 (Hero) a tamaños legibles que no rompan altura de línea.,,
Multimedia Móvil,Recortes (Crop),Imágenes como foto1.png conservan relación (object-cover) sin desfigurarse.,,
Multimedia Móvil,Optimización Red,WebP integrados cargan instantáneo. Uso estricto de lazy load.,,
Accesibilidad,Legibilidad al Sol,Textos principales contrastan sobre modo oscuro simulando bajo brillo.,,
Accesibilidad,Orientación Horizontal,Giro del teléfono a modo paisaje no rompe las tarjetas.,,
Accesibilidad,Hover vs Tap,No se requiere doble tap engañoso para disparar enlaces.,,
Performance,Lighthouse Móvil,Rendimiento +80/100 en emulador de CPU reducida (MotoG4).,,
Performance,Pinturas & TBT,Sin bloqueos exagerados al renderizar el DOM estático en Astro.,,
